category,file,current,target_px,format,note
GALAXY,assets/galaxy/t1-03-subject.png,absent,1920x1080,PNG-24 RGBA,"subject cut in place, registers exactly over the plate, full frame height"
GALAXY,assets/galaxy/t1-05-field.jpg,absent,1920x1080,JPEG q82,blurred plate
GALAXY,assets/galaxy/t1-05-clear.jpg,absent,1920x1080,JPEG q88,sharp plate; a DIFFERENT file from field
GALAXY,assets/galaxy/t1-05-subject.png,absent,1920x1080,PNG-24 RGBA,"subject cut in place, registers exactly over the plate, full frame height"
GALAXY,assets/galaxy/t1-06-field.jpg,absent,1920x1080,JPEG q82,blurred plate
GALAXY,assets/galaxy/t1-06-clear.jpg,absent,1920x1080,JPEG q88,sharp plate; a DIFFERENT file from field
GALAXY,assets/galaxy/t1-06-subject.png,absent,1920x1080,PNG-24 RGBA,"subject cut in place, registers exactly over the plate, full frame height"
GALAXY,assets/galaxy/t1-07-field.jpg,absent,1920x1080,JPEG q82,blurred plate
GALAXY,assets/galaxy/t1-07-clear.jpg,absent,1920x1080,JPEG q88,sharp plate; a DIFFERENT file from field
GALAXY,assets/galaxy/t1-07-subject.png,absent,1920x1080,PNG-24 RGBA,"subject cut in place, registers exactly over the plate, full frame height"
GALAXY,assets/galaxy/t1-08-field.jpg,absent,1920x1080,JPEG q82,blurred plate
GALAXY,assets/galaxy/t1-08-clear.jpg,absent,1920x1080,JPEG q88,sharp plate; a DIFFERENT file from field
GALAXY,assets/galaxy/t1-08-subject.png,absent,1920x1080,PNG-24 RGBA,"subject cut in place, registers exactly over the plate, full frame height"
GALAXY,assets/galaxy/t1-09-field.jpg,absent,1920x1080,JPEG q82,blurred plate
GALAXY,assets/galaxy/t1-09-clear.jpg,absent,1920x1080,JPEG q88,sharp plate; a DIFFERENT file from field
GALAXY,assets/galaxy/t1-09-subject.png,absent,1920x1080,PNG-24 RGBA,"subject cut in place, registers exactly over the plate, full frame height"
GALAXY,assets/galaxy/t2-01-field.jpg,absent,1920x1080,JPEG q82,blurred plate
GALAXY,assets/galaxy/t2-01-clear.jpg,absent,1920x1080,JPEG q88,sharp plate; a DIFFERENT file from field
GALAXY,assets/galaxy/t2-01-subject.png,absent,1920x1080,PNG-24 RGBA,"subject cut in place, registers exactly over the plate, full frame height"
GALAXY,assets/galaxy/t2-02-field.jpg,absent,1920x1080,JPEG q82,blurred plate
GALAXY,assets/galaxy/t2-02-clear.jpg,absent,1920x1080,JPEG q88,sharp plate; a DIFFERENT file from field
GALAXY,assets/galaxy/t2-02-subject.png,absent,1920x1080,PNG-24 RGBA,"subject cut in place, registers exactly over the plate, full frame height"
GALAXY,assets/galaxy/t2-03-field.jpg,absent,1920x1080,JPEG q82,blurred plate
GALAXY,assets/galaxy/t2-03-clear.jpg,absent,1920x1080,JPEG q88,sharp plate; a DIFFERENT file from field
GALAXY,assets/galaxy/t2-03-subject.png,absent,1920x1080,PNG-24 RGBA,"subject cut in place, registers exactly over the plate, full frame height"
GALAXY,assets/galaxy/t2-04-field.jpg,absent,1920x1080,JPEG q82,blurred plate
GALAXY,assets/galaxy/t2-04-clear.jpg,absent,1920x1080,JPEG q88,sharp plate; a DIFFERENT file from field
GALAXY,assets/galaxy/t2-04-subject.png,absent,1920x1080,PNG-24 RGBA,"subject cut in place, registers exactly over the plate, full frame height"
GALAXY,assets/galaxy/t2-05-field.jpg,absent,1920x1080,JPEG q82,blurred plate
GALAXY,assets/galaxy/t2-05-clear.jpg,absent,1920x1080,JPEG q88,sharp plate; a DIFFERENT file from field
GALAXY,assets/galaxy/t2-05-subject.png,absent,1920x1080,PNG-24 RGBA,"subject cut in place, registers exactly over the plate, full frame height"
GALAXY,assets/galaxy/t2-06-field.jpg,absent,1920x1080,JPEG q82,blurred plate
GALAXY,assets/galaxy/t2-06-clear.jpg,absent,1920x1080,JPEG q88,sharp plate; a DIFFERENT file from field
GALAXY,assets/galaxy/t2-06-subject.png,absent,1920x1080,PNG-24 RGBA,"subject cut in place, registers exactly over the plate, full frame height"
GALAXY,assets/galaxy/t2-07-field.jpg,absent,1920x1080,JPEG q82,blurred plate
GALAXY,assets/galaxy/t2-07-clear.jpg,absent,1920x1080,JPEG q88,sharp plate; a DIFFERENT file from field
GALAXY,assets/galaxy/t2-07-subject.png,absent,1920x1080,PNG-24 RGBA,"subject cut in place, registers exactly over the plate, full frame height"
GALAXY,assets/galaxy/t2-08-field.jpg,absent,1920x1080,JPEG q82,blurred plate
GALAXY,assets/galaxy/t2-08-clear.jpg,absent,1920x1080,JPEG q88,sharp plate; a DIFFERENT file from field
GALAXY,assets/galaxy/t2-08-subject.png,absent,1920x1080,PNG-24 RGBA,"subject cut in place, registers exactly over the plate, full frame height"
GALAXY,assets/galaxy/t2-10-field.jpg,absent,1920x1080,JPEG q82,blurred plate
GALAXY,assets/galaxy/t2-10-clear.jpg,absent,1920x1080,JPEG q88,sharp plate; a DIFFERENT file from field
GALAXY,assets/galaxy/t2-10-subject.png,absent,1920x1080,PNG-24 RGBA,"subject cut in place, registers exactly over the plate, full frame height"
GALAXY,assets/galaxy/t3-01-field.jpg,absent,1920x1080,JPEG q82,blurred plate
GALAXY,assets/galaxy/t3-01-clear.jpg,absent,1920x1080,JPEG q88,sharp plate; a DIFFERENT file from field
GALAXY,assets/galaxy/t3-01-subject.png,absent,1920x1080,PNG-24 RGBA,"subject cut in place, registers exactly over the plate, full frame height"
GALAXY,assets/galaxy/t3-03-field.jpg,absent,1920x1080,JPEG q82,blurred plate
GALAXY,assets/galaxy/t3-03-clear.jpg,absent,1920x1080,JPEG q88,sharp plate; a DIFFERENT file from field
GALAXY,assets/galaxy/t3-03-subject.png,absent,1920x1080,PNG-24 RGBA,"subject cut in place, registers exactly over the plate, full frame height"
GALAXY,assets/galaxy/t3-04-field.jpg,absent,1920x1080,JPEG q82,blurred plate
GALAXY,assets/galaxy/t3-04-clear.jpg,absent,1920x1080,JPEG q88,sharp plate; a DIFFERENT file from field
GALAXY,assets/galaxy/t3-04-subject.png,absent,1920x1080,PNG-24 RGBA,"subject cut in place, registers exactly over the plate, full frame height"
GALAXY,assets/galaxy/t3-06-field.jpg,absent,1920x1080,JPEG q82,blurred plate
GALAXY,assets/galaxy/t3-06-clear.jpg,absent,1920x1080,JPEG q88,sharp plate; a DIFFERENT file from field
GALAXY,assets/galaxy/t3-06-subject.png,absent,1920x1080,PNG-24 RGBA,"subject cut in place, registers exactly over the plate, full frame height"
