asset_id,current_path,page,section,current_size,required_size,derived_from_width,aspect_source,aspect_rendered,mime_real,ext_matches,status,action,priority
IMG-013,assets/t3/range.jpg,professional-performance.html,.sr-tp-rangeimg (range section),1600x600,1600x600 (matches declared ratio),declared tracks.js art.range.ratio 16/6,"16/6 (tracks.js data, source image is exactly 1600x600 = 16:6)","16/6 (img height:auto, no wrapper conflict found)",image/jpeg,y,KEEP,none,P3
IMG-014,assets/t3/change.jpg,professional-performance.html,.sr-tp-sixwrap (six areas of change section),1600x700,1600x700 (matches declared ratio),declared tracks.js art.change.ratio 16/7,"16/7 (tracks.js data, source image is exactly 1600x700 = 16:7)",16/7 (no wrapper aspect-ratio conflict on .sr-tp-sixwrap),image/jpeg,y,KEEP,none,P3
IMG-015,(does not exist — no file anywhere in repo),professional-performance.html,.sr-tp-band (band/journey section),n/a — art.band has no src key,"1400x380 (per declared ratio, matching t1/t2)",n/a,declared tracks.js art.band.ratio 1400/380,"renders labelled placeholder, not an image (js/saferise-track.js slot() degrade path)",,n/a,MISSING,provision a 1400x380 (or re-crop the already-attempted 1400x583 delivery — SR-224 in docs/fix-register.md documents a prior delivery at the wrong ratio that was correctly rejected rather than force-installed) band photograph for Track 3; every other track has one,P1
IMG-016,assets/shared/four-steps.jpg,all three track pages,.sr-tp-pfimg (shared four-steps section),1600x500,1600x500 (matches declared ratio),declared tracks.js SHARED.art.fourSteps.ratio 16/5,"16/5 (tracks.js data, source image is exactly 1600x500 = 16:5)","16/5 (img height:auto, no wrapper conflict)",image/jpeg,y,KEEP,none,P3
IMG-017,assets/covers/01.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — full (900x1200)",900x1200,900x1200 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"243 (largest .sr-cover .sr-tile rendered width @1280, clamp(212px,19vw,262px))",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-018,assets/covers/01.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — full (900x1200)",900x1200,900x1200 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"243 (largest .sr-cover .sr-tile rendered width @1280, clamp(212px,19vw,262px))",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-019,assets/covers/01-640.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 640w variant",640x853,640x853 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-020,assets/covers/01-640.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 640w variant",640x853,640x853 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-021,assets/covers/01-320.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 320w variant",320x427,320x427 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-022,assets/covers/01-320.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 320w variant",320x427,320x427 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-023,assets/covers/02.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — full (900x1200)",900x1200,900x1200 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"243 (largest .sr-cover .sr-tile rendered width @1280, clamp(212px,19vw,262px))",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-024,assets/covers/02.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — full (900x1200)",900x1200,900x1200 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"243 (largest .sr-cover .sr-tile rendered width @1280, clamp(212px,19vw,262px))",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-025,assets/covers/02-640.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 640w variant",640x853,640x853 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-026,assets/covers/02-640.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 640w variant",640x853,640x853 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-027,assets/covers/02-320.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 320w variant",320x427,320x427 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-028,assets/covers/02-320.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 320w variant",320x427,320x427 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-029,assets/covers/03.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — full (900x1200)",900x1200,900x1200 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"243 (largest .sr-cover .sr-tile rendered width @1280, clamp(212px,19vw,262px))",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-030,assets/covers/03.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — full (900x1200)",900x1200,900x1200 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"243 (largest .sr-cover .sr-tile rendered width @1280, clamp(212px,19vw,262px))",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-031,assets/covers/03-640.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 640w variant",640x853,640x853 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-032,assets/covers/03-640.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 640w variant",640x853,640x853 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-033,assets/covers/03-320.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 320w variant",320x427,320x427 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-034,assets/covers/03-320.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 320w variant",320x427,320x427 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-035,assets/covers/04.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — full (900x1200)",900x1200,900x1200 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"243 (largest .sr-cover .sr-tile rendered width @1280, clamp(212px,19vw,262px))",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-036,assets/covers/04.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — full (900x1200)",900x1200,900x1200 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"243 (largest .sr-cover .sr-tile rendered width @1280, clamp(212px,19vw,262px))",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-037,assets/covers/04-640.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 640w variant",640x853,640x853 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-038,assets/covers/04-640.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 640w variant",640x853,640x853 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-039,assets/covers/04-320.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 320w variant",320x427,320x427 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-040,assets/covers/04-320.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 320w variant",320x427,320x427 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-041,assets/covers/05.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — full (900x1200)",900x1200,900x1200 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"243 (largest .sr-cover .sr-tile rendered width @1280, clamp(212px,19vw,262px))",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-042,assets/covers/05.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — full (900x1200)",900x1200,900x1200 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"243 (largest .sr-cover .sr-tile rendered width @1280, clamp(212px,19vw,262px))",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-043,assets/covers/05-640.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 640w variant",640x853,640x853 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-044,assets/covers/05-640.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 640w variant",640x853,640x853 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-045,assets/covers/05-320.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 320w variant",320x427,320x427 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-046,assets/covers/05-320.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 320w variant",320x427,320x427 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-047,assets/covers/06.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — full (900x1200)",900x1200,900x1200 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"243 (largest .sr-cover .sr-tile rendered width @1280, clamp(212px,19vw,262px))",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-048,assets/covers/06.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — full (900x1200)",900x1200,900x1200 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"243 (largest .sr-cover .sr-tile rendered width @1280, clamp(212px,19vw,262px))",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-049,assets/covers/06-640.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 640w variant",640x853,640x853 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-050,assets/covers/06-640.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 640w variant",640x853,640x853 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-051,assets/covers/06-320.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 320w variant",320x427,320x427 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-052,assets/covers/06-320.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 320w variant",320x427,320x427 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-053,assets/covers/07.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — full (900x1200)",900x1200,900x1200 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"243 (largest .sr-cover .sr-tile rendered width @1280, clamp(212px,19vw,262px))",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-054,assets/covers/07.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — full (900x1200)",900x1200,900x1200 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"243 (largest .sr-cover .sr-tile rendered width @1280, clamp(212px,19vw,262px))",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-055,assets/covers/07-640.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 640w variant",640x853,640x853 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-056,assets/covers/07-640.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 640w variant",640x853,640x853 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-057,assets/covers/07-320.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 320w variant",320x427,320x427 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-058,assets/covers/07-320.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 320w variant",320x427,320x427 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-059,assets/covers/08.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — full (900x1200)",900x1200,900x1200 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"243 (largest .sr-cover .sr-tile rendered width @1280, clamp(212px,19vw,262px))",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-060,assets/covers/08.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — full (900x1200)",900x1200,900x1200 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"243 (largest .sr-cover .sr-tile rendered width @1280, clamp(212px,19vw,262px))",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-061,assets/covers/08-640.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 640w variant",640x853,640x853 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-062,assets/covers/08-640.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 640w variant",640x853,640x853 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-063,assets/covers/08-320.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 320w variant",320x427,320x427 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-064,assets/covers/08-320.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 320w variant",320x427,320x427 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-065,assets/covers/09.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — full (900x1200)",900x1200,900x1200 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"243 (largest .sr-cover .sr-tile rendered width @1280, clamp(212px,19vw,262px))",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-066,assets/covers/09.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — full (900x1200)",900x1200,900x1200 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"243 (largest .sr-cover .sr-tile rendered width @1280, clamp(212px,19vw,262px))",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-067,assets/covers/09-640.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 640w variant",640x853,640x853 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-068,assets/covers/09-640.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 640w variant",640x853,640x853 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-069,assets/covers/09-320.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 320w variant",320x427,320x427 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
