"id","page","section","file_path","pixels","aspect_ratio","subject","brief","status"
"IMG-023","Professional Performance","Protocol cover","assets/covers/t3-03.jpg","1086×1448","3:4 portrait","The Imposter Dissolution Protocol","Single figure, eyes closed or averted, natural light. Label: Dissolve. Number 03 set large, lower right. SAFERISE mark beneath.","DELIVERED"
"IMG-024","Professional Performance","Protocol cover","assets/covers/t3-04.jpg","1086×1448","3:4 portrait","The Perfectionism Release Protocol","Single figure, eyes closed or averted, natural light. Label: Loosen. Number 04 set large, lower right. SAFERISE mark beneath.","DELIVERED"
"IMG-025","Professional Performance","Protocol cover","assets/covers/t3-05.jpg","1086×1448","3:4 portrait","The Performance Anxiety Protocol","Single figure, eyes closed or averted, natural light. Label: Perform. Number 05 set large, lower right. SAFERISE mark beneath.","DELIVERED"
"IMG-026","Professional Performance","Protocol cover","assets/covers/t3-06.jpg","1086×1448","3:4 portrait","The Ambition Recovery Protocol","Single figure, eyes closed or averted, natural light. Label: Recover. Number 06 set large, lower right. SAFERISE mark beneath.","DELIVERED"
"IMG-027","Professional Performance","Protocol cover","assets/covers/t3-07.jpg","1086×1448","3:4 portrait","The Career Transition Protocol","Single figure, eyes closed or averted, natural light. Label: Cross. Number 07 set large, lower right. SAFERISE mark beneath.","DELIVERED"
"IMG-028","Professional Performance","Protocol cover","assets/covers/t3-08.jpg","1086×1448","3:4 portrait","The Decision Fatigue Protocol","Single figure, eyes closed or averted, natural light. Label: Decide. Number 08 set large, lower right. SAFERISE mark beneath.","DELIVERED"
"IMG-029","Professional Performance","Protocol cover","assets/covers/t3-09.jpg","1086×1448","3:4 portrait","The Burnout & Overload Protocol","Single figure, eyes closed or averted, natural light. Label: Refill. Number 09 set large, lower right. SAFERISE mark beneath.","DELIVERED"
"IMG-030","Professional Performance","Protocol cover","assets/covers/t3-10.jpg","1086×1448","3:4 portrait","The Creative Flow Protocol","Single figure, eyes closed or averted, natural light. Label: Unlock. Number 10 set large, lower right. SAFERISE mark beneath.","DELIVERED"
"IMG-031","Personal Transformation","Section — band","assets/journey/t1-band.jpg","1400×380","3.68:1 band","one person alone: listening with headphones, writing, reading","one person alone: listening with headphones, writing, reading","DELIVERED"
"IMG-032","Personal Transformation","Section — cost","assets/t1/cost.jpg","1600×700","16:7","one person, same room — evening, three in the morning, next morning","one person, same room — evening, three in the morning, next morning","DELIVERED"
"IMG-033","Personal Transformation","Section — range","assets/t1/range.jpg","1600×600","16:6","the same person three times — braced, settled, absent","the same person three times — braced, settled, absent","DELIVERED"
"IMG-034","Personal Transformation","Section — change","assets/t1/change.jpg","1600×700","16:7","one person moving easily through an ordinary day at home","one person moving easily through an ordinary day at home","DELIVERED"
"IMG-035","Relationship Healing","Section — band","assets/journey/t2-band.jpg","1400×380","3.68:1 band","two people: one listening alone, one writing, both reading together","two people: one listening alone, one writing, both reading together","DELIVERED"
"IMG-036","Relationship Healing","Section — cost","assets/t2/cost.jpg","1600×700","16:7","two people in one room not looking at each other — evening, night, morning","two people in one room not looking at each other — evening, night, morning","DELIVERED"
"IMG-037","Relationship Healing","Section — range","assets/t2/range.jpg","1600×600","16:6","the same pair three times — one pressing, both settled, one gone","the same pair three times — one pressing, both settled, one gone","DELIVERED"
"IMG-038","Relationship Healing","Section — change","assets/t2/change.jpg","1600×700","16:7","two people at ease in a shared space, facing each other","two people at ease in a shared space, facing each other","DELIVERED"
"IMG-039","Professional Performance","Section — band","assets/journey/t3-band.jpg","1400×380","3.68:1 band","corridor four minutes before the room, desk log, reading at day’s end","corridor four minutes before the room, desk log, reading at day’s end","NEEDED"
"IMG-040","Professional Performance","Section — cost","assets/t3/cost.jpg","1600×700","16:7","one person at work — early, midday, still there late","one person at work — early, midday, still there late","NEEDED"
"IMG-041","Professional Performance","Section — range","assets/t3/range.jpg","1600×600","16:6","the same professional before a meeting — braced, settled, absent","the same professional before a meeting — braced, settled, absent","NEEDED"
"IMG-042","Professional Performance","Section — change","assets/t3/change.jpg","1600×700","16:7","someone leaving work at a reasonable hour, unhurried","someone leaving work at a reasonable hour, unhurried","NEEDED"
"IMG-043","Shared","Four steps","assets/shared/four-steps.jpg","1600×500","16:5","four moments, no track cues","Four moments in sequence, no track-specific cues. Used across all three tracks.","DELIVERED"
"IMG-044","Track 01","Protocol hero","assets/anxiety-hero.webp","1920×1080","16:9","Anxiety Reset hero","Hero still for the free protocol page. Currently the only protocol hero in the tree.","NEEDED"
"IMG-045","Method — Polyvagal Theory","Framework band","assets/method/porges-band.jpg","2100×900","21:9 band","Polyvagal Theory","Abstract. a threshold or a change of light. No people, no text, no symbols of the discipline.","NEEDED"
"IMG-046","Method — Cardiac coherence","Framework band","assets/method/heartmath-band.jpg","2100×900","21:9 band","Cardiac coherence","Abstract. a slow single wave, even and repeating. No hearts, no medical imagery. No people, no text, no symbols of the discipline.","NEEDED"
"IMG-047","Method — Compassionate Inquiry","Framework band","assets/method/mate-band.jpg","2100×900","21:9 band","Compassionate Inquiry","Abstract. an opening rather than a search. No faces, no consulting rooms. No people, no text, no symbols of the discipline.","NEEDED"
"IMG-048","Method — Distance & rehearsal","Framework band","assets/method/kross-band.jpg","2100×900","21:9 band","Distance & rehearsal","Abstract. distance and vantage. A far horizon, or the same form seen twice at different scales. No people, no text, no symbols of the discipline.","NEEDED"
"IMG-049","Method — Shadow & individuation","Framework band","assets/method/jung-band.jpg","2100×900","21:9 band","Shadow & individuation","Abstract. a form and what it casts. Two shapes, one attended and one not. No masks, no mirrors. No people, no text, no symbols of the discipline.","NEEDED"
"IMG-050","Method — Non-resistance","Framework band","assets/method/watts-band.jpg","2100×900","21:9 band","Non-resistance","Abstract. moving water around a fixed form. No figures, no calligraphy, no Eastern iconography. No people, no text, no symbols of the discipline.","NEEDED"
"IMG-051","Personal Transformation","Hero banner","assets/t1/hero.jpg","2400×1000","2.4:1","one person, right third, soft dark left half for type","Wide banner with headline text laid over it. Figures in the right third; left half soft, dark and uncluttered for type. NOT INSTALLED — blocked on the hero panel geometry, which declares no aspect-ratio and crops a 2.4:1 image to 27% of its width at 390px.","NEEDED"
"IMG-052","Relationship Healing","Hero banner","assets/t2/hero.jpg","2400×1000","2.4:1","two people, right third, soft dark left half for type","Wide banner with headline text laid over it. Figures in the right third; left half soft, dark and uncluttered for type. NOT INSTALLED — blocked on the hero panel geometry, which declares no aspect-ratio and crops a 2.4:1 image to 27% of its width at 390px.","NEEDED"
"IMG-053","Professional Performance","Hero banner","assets/t3/hero.jpg","2400×1000","2.4:1","one professional, right third, soft dark left half for type","Wide banner with headline text laid over it. Figures in the right third; left half soft, dark and uncluttered for type. NOT INSTALLED — blocked on the hero panel geometry, which declares no aspect-ratio and crops a 2.4:1 image to 27% of its width at 390px.","NEEDED"
